"","VALUE","YEAR","DIST_TYPE","SEVERITY","sumcount","ACRES"
"513",114,2014,"Wildfire","High",37,8.2285965
"514",115,2014,"Wildfire","Increased Green",13,2.8911285
"515",211,2014,"Wildfire","Unburned/Low",388,86.289066
"516",212,2014,"Wildfire","Low",1856,412.764192
"517",441,2014,"Thinning","Low",9732,2164.343274
"518",442,2014,"Thinning","Medium",910,202.378995
"519",443,2014,"Thinning","High",162,36.027909
"520",451,2014,"Mastication","Low",5019,1116.1979955
"521",452,2014,"Mastication","Medium",153,34.0263585
"522",453,2014,"Mastication","High",15,3.3359175
"523",461,2014,"Other Mechanical","Low",4587,1020.1235715
"524",462,2014,"Other Mechanical","Medium",294,65.383983
"525",463,2014,"Other Mechanical","High",67,14.9004315
"526",471,2014,"Wildfire","Low",107,23.7962115
"527",472,2014,"Wildfire","Medium",2,0.444789
"528",473,2014,"Wildfire","High",1,0.2223945
"529",481,2014,"Wildland Fire Use","Low",102,22.684239
"530",491,2014,"Prescribed Fire","Low",24875,5532.0631875
"531",492,2014,"Prescribed Fire","Medium",1840,409.20588
"532",493,2014,"Prescribed Fire","High",333,74.0573685
"533",601,2014,"Unknown","Low",885,196.8191325
"534",602,2014,"Unknown","Medium",281,62.4928545
"535",603,2014,"Unknown","High",965,214.6106925
"536",701,2014,"Unknown","Low",541,120.3154245
"537",702,2014,"Unknown","Medium",103,22.9066335
"538",703,2014,"Unknown","High",14,3.113523
"539",751,2014,"Mastication","Low",171,38.0294595
"540",752,2014,"Mastication","Medium",66,14.678037
"541",753,2014,"Mastication","High",101,22.4618445
"542",761,2014,"Other Mechanical","Low",329,73.1677905
"543",762,2014,"Other Mechanical","Medium",129,28.6888905
"544",763,2014,"Other Mechanical","High",22,4.892679
"545",791,2014,"Prescribed Fire","Low",12,2.668734
"546",792,2014,"Prescribed Fire","Medium",10,2.223945
"547",793,2014,"Prescribed Fire","High",33,7.3390185
"548",941,2014,"Thinning","Low",6573,1461.7990485
"549",951,2014,"Mastication","Low",2617,582.0064065
"550",961,2014,"Other Mechanical","Low",3605,801.7321725
"551",971,2014,"Wildfire","Low",59,13.1212755
"552",981,2014,"Wildland Fire Use","Low",776,172.578132
"553",991,2014,"Prescribed Fire","Low",33649,7483.3525305
"554",1101,2014,"Unknown/Fire Doubtful","Low",55,12.2316975
"555",1102,2014,"Unknown/Fire Doubtful","Medium",14,3.113523
"556",1103,2014,"Unknown/Fire Doubtful","High",62,13.788459
"557",1113,2014,"Unknown/Possibly Fire","High",17,3.7807065
"558",0,2015,"NA","NA",2927358,651028.318731
"559",11,2015,"Wildfire","Unburned/Low",2991,665.1819495
"560",12,2015,"Wildfire","Low",5444,1210.715658
"561",13,2015,"Wildfire","Medium",432,96.074424
"562",15,2015,"Wildfire","Increased Green",139,30.9128355
"563",111,2015,"Wildfire","Unburned/Low",717,159.4568565
"564",112,2015,"Wildfire","Low",1336,297.119052
"565",113,2015,"Wildfire","Medium",26,5.782257
"566",115,2015,"Wildfire","Increased Green",144,32.024808
"567",441,2015,"Thinning","Low",2380,529.29891
"568",442,2015,"Thinning","Medium",36,8.006202
"569",443,2015,"Thinning","High",66,14.678037
"570",461,2015,"Other Mechanical","Low",17987,4000.2098715
"571",462,2015,"Other Mechanical","Medium",1106,245.968317
"572",463,2015,"Other Mechanical","High",482,107.194149
"573",471,2015,"Wildfire","Low",1,0.2223945
"574",491,2015,"Prescribed Fire","Low",66467,14781.8952315
"575",492,2015,"Prescribed Fire","Medium",2236,497.274102
"576",493,2015,"Prescribed Fire","High",1080,240.18606
"577",501,2015,"Wildland Fire","Low",836,185.921802
"578",502,2015,"Wildland Fire","Medium",170,37.807065
"579",503,2015,"Wildland Fire","High",39,8.6733855
"580",601,2015,"Unknown","Low",705,156.7881225
"581",602,2015,"Unknown","Medium",163,36.2503035
"582",603,2015,"Unknown","High",574,127.654443
"583",701,2015,"Unknown","Low",1964,436.782798
"584",702,2015,"Unknown","Medium",1360,302.45652
"585",703,2015,"Unknown","High",1851,411.6522195
"586",741,2015,"Thinning","Low",141,31.3576245
"587",742,2015,"Thinning","Medium",260,57.82257
"588",743,2015,"Thinning","High",24,5.337468
"589",761,2015,"Other Mechanical","Low",1365,303.5684925
"590",762,2015,"Other Mechanical","Medium",382,84.954699
"591",763,2015,"Other Mechanical","High",369,82.0635705
"592",791,2015,"Prescribed Fire","Low",948,210.829986
"593",792,2015,"Prescribed Fire","Medium",244,54.264258
"594",793,2015,"Prescribed Fire","High",436,96.964002
"595",801,2015,"Wildland Fire","Low",1,0.2223945
"596",941,2015,"Thinning","Low",6639,1476.4770855
"597",961,2015,"Other Mechanical","Low",25467,5663.7207315
"598",971,2015,"Wildfire","Low",6,1.334367
"599",991,2015,"Prescribed Fire","Low",121982,27128.125899
"600",1001,2015,"Wildland Fire","Low",646,143.666847
"601",1101,2015,"Unknown","Low",71,15.7900095
"602",1102,2015,"Unknown","Medium",18,4.003101
"603",1103,2015,"Unknown","High",26,5.782257
"604",1111,2015,"Unknown","Low",1,0.2223945
"605",1112,2015,"Unknown","Medium",5,1.1119725
"606",1113,2015,"Unknown","High",4,0.889578
"607",1121,2015,"Unknown","Low",768,170.798976
"608",1122,2015,"Unknown","Medium",62,13.788459
"609",1123,2015,"Unknown","High",553,122.9841585
"610",0,2016,"NA","NA",2988429,664610.1732405
"611",11,2016,"Wildfire","Unburned/Low",15986,3555.198477
"612",12,2016,"Wildfire","Low",33979,7556.7427155
"613",13,2016,"Wildfire","Medium",1837,408.5386965
"614",15,2016,"Wildfire","Increased Green",419,93.1832955
"615",16,2016,"Wildfire","NA",9,2.0015505
"616",31,2016,"Wildfire","Unburned/Low",178,39.586221
"617",32,2016,"Wildfire","Low",65,14.4556425
"618",33,2016,"Wildfire","Medium",78,17.346771
"619",34,2016,"Wildfire","High",230,51.150735
"620",111,2016,"Wildfire","Unburned/Low",128,28.466496
"621",112,2016,"Wildfire","Low",951,211.4971695
"622",115,2016,"Wildfire","Increased Green",2,0.444789
"623",231,2016,"Wildfire","Unburned/Low",37,8.2285965
"624",232,2016,"Wildfire","Low",69,15.3452205
"625",233,2016,"Wildfire","Medium",6,1.334367
"626",234,2016,"Wildfire","High",63,14.0108535
"627",441,2016,"Thinning","Low",7551,1679.3008695
"628",442,2016,"Thinning","Medium",77,17.1243765
"629",443,2016,"Thinning","High",3,0.6671835
"630",451,2016,"Mastication","Low",1905,423.6615225
"631",452,2016,"Mastication","Medium",508,112.976406
"632",453,2016,"Mastication","High",414,92.071323
"633",461,2016,"Other Mechanical","Low",1907,424.1063115
"634",462,2016,"Other Mechanical","Medium",18,4.003101
"635",463,2016,"Other Mechanical","High",2,0.444789
"636",471,2016,"Wildfire","Low",1102,245.078739
"637",472,2016,"Wildfire","Medium",249,55.3762305
"638",473,2016,"Wildfire","High",228,50.705946
"639",491,2016,"Prescribed Fire","Low",34431,7657.2650295
"640",492,2016,"Prescribed Fire","Medium",4230,940.728735
"641",493,2016,"Prescribed Fire","High",3220,716.11029
"642",601,2016,"Unknown","Low",1734,385.632063
"643",602,2016,"Unknown","Medium",734,163.237563
"644",603,2016,"Unknown","High",962,213.943509
"645",701,2016,"Unknown","Low",5929,1318.5769905
"646",702,2016,"Unknown","Medium",1543,343.1547135
"647",703,2016,"Unknown","High",2248,499.942836
"648",741,2016,"Thinning","Low",4,0.889578
"649",742,2016,"Thinning","Medium",1,0.2223945
"650",751,2016,"Mastication","Low",403,89.6249835
"651",752,2016,"Mastication","Medium",186,41.365377
"652",753,2016,"Mastication","High",266,59.156937
"653",761,2016,"Other Mechanical","Low",141,31.3576245
"654",762,2016,"Other Mechanical","Medium",4,0.889578
"655",771,2016,"Wildfire","Low",208,46.258056
"656",772,2016,"Wildfire","Medium",88,19.570716
"657",773,2016,"Wildfire","High",185,41.1429825
"658",791,2016,"Prescribed Fire","Low",1163,258.6448035
"659",792,2016,"Prescribed Fire","Medium",386,85.844277
"660",793,2016,"Prescribed Fire","High",279,62.0480655
"661",941,2016,"Thinning","Low",10229,2274.8733405
"662",951,2016,"Mastication","Low",1111,247.0802895
"663",961,2016,"Other Mechanical","Low",9733,2164.5656685
"664",971,2016,"Wildfire","Low",424,94.295268
"665",991,2016,"Prescribed Fire","Low",56886,12651.133527
"666",1101,2016,"Unknown","Low",322,71.611029
"667",1102,2016,"Unknown","Medium",417,92.7385065
"668",1103,2016,"Unknown","High",82,18.236349
"669",1111,2016,"Unknown","Low",4,0.889578
"670",1112,2016,"Unknown","Medium",4,0.889578
"671",1113,2016,"Unknown","High",8,1.779156
"672",1121,2016,"Unknown","Low",3184,708.104088
"673",1122,2016,"Unknown","Medium",1053,234.1814085
"674",1123,2016,"Unknown","High",273,60.7136985
"675",1131,2016,"Unknown","Low",1,0.2223945
"676",1132,2016,"Unknown","Medium",2,0.444789
