"","VALUE","YEAR","DIST_TYPE","SEVERITY","sumcount","ACRES"
"118",491,2003,"Prescribed Fire","Low",15235,3388.1802075
"119",492,2003,"Prescribed Fire","Medium",22776,5065.257132
"120",493,2003,"Prescribed Fire","High",2300,511.50735
"121",602,2003,"Unknown","Medium",2855,634.9362975
"122",603,2003,"Unknown","High",635,141.2205075
"123",702,2003,"Unknown","Medium",582,129.433599
"124",703,2003,"Unknown","High",683,151.8954435
"125",732,2003,"Harvest","Medium",14,3.113523
"126",1102,2003,"Unknown","Medium",46,10.230147
"127",1103,2003,"Unknown","High",193,42.9221385
"128",11,2004,"Wildfire","Unburned/Low",54085,12028.2065325
"129",12,2004,"Wildfire","Low",105433,23447.7193185
"130",13,2004,"Wildfire","Medium",10467,2327.8032315
"131",14,2004,"Wildfire","High",372,82.730754
"132",431,2004,"Harvest","Low",1365,303.5684925
"133",432,2004,"Harvest","Medium",972,216.167454
"134",433,2004,"Harvest","High",66,14.678037
"135",461,2004,"Other Mechanical","Low",88,19.570716
"136",462,2004,"Other Mechanical","Medium",432,96.074424
"137",463,2004,"Other Mechanical","High",56,12.454092
"138",491,2004,"Prescribed Fire","Low",7955,1769.1482475
"139",492,2004,"Prescribed Fire","Medium",5522,1228.062429
"140",493,2004,"Prescribed Fire","High",547,121.6497915
"141",601,2004,"Unknown","Low",5,1.1119725
"142",602,2004,"Unknown","Medium",733,163.0151685
"143",603,2004,"Unknown","High",595,132.3247275
"144",702,2004,"Unknown","Medium",582,129.433599
"145",703,2004,"Unknown","High",1830,406.981935
"146",732,2004,"Harvest","Medium",115,25.5753675
"147",733,2004,"Harvest","High",7,1.5567615
"148",762,2004,"Other Mechanical","Medium",16,3.558312
"149",763,2004,"Other Mechanical","High",5,1.1119725
"150",792,2004,"Prescribed Fire","Medium",64,14.233248
"151",793,2004,"Prescribed Fire","High",144,32.024808
"152",1102,2004,"Unknown","Medium",490,108.973305
"153",1103,2004,"Unknown","High",2070,460.356615
"154",11,2005,"Wildfire","Unburned/Low",35400,7872.7653
"155",12,2005,"Wildfire","Low",51804,11520.924678
"156",13,2005,"Wildfire","Medium",34944,7771.353408
"157",14,2005,"Wildfire","High",746,165.906297
"158",15,2005,"Wildfire","Increased Green",598,132.991911
"159",461,2005,"Other Mechanical","Low",937,208.3836465
"160",462,2005,"Other Mechanical","Medium",1358,302.011731
"161",463,2005,"Other Mechanical","High",117,26.0201565
"162",491,2005,"Prescribed Fire","Low",11369,2528.4030705
"163",492,2005,"Prescribed Fire","Medium",13682,3042.801549
"164",493,2005,"Prescribed Fire","High",135,30.0232575
"165",601,2005,"Unknown","Low",6,1.334367
"166",602,2005,"Unknown","Medium",1215,270.2093175
"167",603,2005,"Unknown","High",875,194.5951875
"168",702,2005,"Unknown","Medium",1012,225.063234
"169",703,2005,"Unknown","High",1731,384.9648795
"170",762,2005,"Other Mechanical","Medium",86,19.125927
"171",763,2005,"Other Mechanical","High",2,0.444789
"172",792,2005,"Prescribed Fire","Medium",97,21.5722665
"173",793,2005,"Prescribed Fire","High",1,0.2223945
"174",1101,2005,"Unknown","Low",1,0.2223945
"175",1102,2005,"Unknown","Medium",91,20.2378995
"176",1103,2005,"Unknown","High",1046,232.624647
"177",11,2006,"Wildfire","Unburned/Low",30217,6720.0946065
"178",12,2006,"Wildfire","Low",46320,10301.31324
"179",13,2006,"Wildfire","Medium",30095,6692.9624775
"180",14,2006,"Wildfire","High",2067,459.6894315
"181",15,2006,"Wildfire","Increased Green",639,142.1100855
"182",441,2006,"Thinning","Low",231,51.3731295
"183",442,2006,"Thinning","Medium",1644,365.616558
"184",443,2006,"Thinning","High",510,113.421195
"185",463,2006,"Other Mechanical","High",354,78.727653
"186",491,2006,"Prescribed Fire","Low",3826,850.881357
"187",492,2006,"Prescribed Fire","Medium",4308,958.075506
"188",493,2006,"Prescribed Fire","High",200,44.4789
"189",602,2006,"Unknown","Medium",1230,273.545235
"190",603,2006,"Unknown","High",1618,359.834301
"191",702,2006,"Unknown","Medium",424,94.295268
"192",703,2006,"Unknown","High",1487,330.7006215
"193",742,2006,"Thinning","Medium",77,17.1243765
"194",743,2006,"Thinning","High",304,67.607928
"195",763,2006,"Other Mechanical","High",15,3.3359175
"196",792,2006,"Prescribed Fire","Medium",7,1.5567615
"197",793,2006,"Prescribed Fire","High",2,0.444789
"198",1102,2006,"Unknown","Medium",64,14.233248
"199",1103,2006,"Unknown","High",1789,397.8637605
"200",11,2007,"Wildfire","Unburned/Low",713744,158732.740008
"201",12,2007,"Wildfire","Low",868937,193246.8096465
"202",13,2007,"Wildfire","Medium",85116,18929.330262
"203",14,2007,"Wildfire","High",1159,257.7552255
"204",15,2007,"Wildfire","Increased Green",992,220.615344
"205",21,2007,"Wildfire","Unburned/Low",2493,554.4294885
"206",22,2007,"Wildfire","Low",905,201.2670225
"207",23,2007,"Wildfire","Medium",1533,340.9307685
"208",24,2007,"Wildfire","High",159,35.3607255
"209",31,2007,"Wildfire","Unburned/Low",2,0.444789
"210",422,2007,"Clearcut","Medium",4,0.889578
"211",423,2007,"Clearcut","High",37,8.2285965
"212",441,2007,"Thinning","Low",902,200.599839
"213",442,2007,"Thinning","Medium",2760,613.80882
"214",443,2007,"Thinning","High",18,4.003101
"215",461,2007,"Other Mechanical","Low",26,5.782257
"216",462,2007,"Other Mechanical","Medium",154,34.248753
"217",463,2007,"Other Mechanical","High",330,73.390185
"218",471,2007,"Wildfire","Low",43889,9760.6722105
"219",472,2007,"Wildfire","Medium",177115,39389.4018675
"220",473,2007,"Wildfire","High",258480,57484.53036
"221",602,2007,"Unknown","Medium",101,22.4618445
"222",603,2007,"Unknown","High",14,3.113523
"223",702,2007,"Unknown","Medium",346,76.948497
"224",703,2007,"Unknown","High",177,39.3638265
"225",722,2007,"Clearcut","Medium",1,0.2223945
"226",772,2007,"Wildfire","Medium",188,41.810166
"227",773,2007,"Wildfire","High",288,64.049616
"228",1102,2007,"Unknown","Medium",48,10.674936
"229",1103,2007,"Unknown","High",359,79.8396255
"230",11,2008,"Wildfire","Unburned/Low",39131,8702.5191795
"231",12,2008,"Wildfire","Low",56706,12611.102517
"232",13,2008,"Wildfire","Medium",25828,5744.005146
"233",14,2008,"Wildfire","High",740,164.57193
"234",15,2008,"Wildfire","Increased Green",3645,810.6279525
"235",16,2008,"Wildfire","Nodata/Non-processing mask",911,202.6013895
"236",421,2008,"Clearcut","Low",2519,560.2117455
"237",422,2008,"Clearcut","Medium",1810,402.534045
"238",423,2008,"Clearcut","High",2146,477.258597
"239",441,2008,"Thinning","Low",3112,692.091684
"240",442,2008,"Thinning","Medium",249,55.3762305
"241",443,2008,"Thinning","High",74,16.457193
"242",451,2008,"Mastication","Low",2381,529.5213045
"243",452,2008,"Mastication","Medium",76,16.901982
"244",453,2008,"Mastication","High",19,4.2254955
"245",461,2008,"Other Mechanical","Low",801,178.1379945
"246",462,2008,"Other Mechanical","Medium",617,137.2174065
"247",463,2008,"Other Mechanical","High",334,74.279763
"248",471,2008,"Wildfire","Low",5142,1143.552519
"249",472,2008,"Wildfire","Medium",358,79.617231
"250",473,2008,"Wildfire","High",89,19.7931105
"251",491,2008,"Prescribed Fire","Low",16339,3633.7037355
"252",492,2008,"Prescribed Fire","Medium",2298,511.062561
"253",493,2008,"Prescribed Fire","High",683,151.8954435
"254",601,2008,"Unknown","Low",1045,232.4022525
"255",602,2008,"Unknown","Medium",162,36.027909
"256",603,2008,"Unknown","High",72,16.012404
"257",701,2008,"Unknown","Low",597,132.7695165
"258",702,2008,"Unknown","Medium",606,134.771067
"259",703,2008,"Unknown","High",463,102.9686535
"260",741,2008,"Thinning","Low",701,155.8985445
"261",742,2008,"Thinning","Medium",194,43.144533
"262",743,2008,"Thinning","High",39,8.6733855
"263",791,2008,"Prescribed Fire","Low",278,61.825671
"264",792,2008,"Prescribed Fire","Medium",121,26.9097345
"265",793,2008,"Prescribed Fire","High",21,4.6702845
"266",921,2008,"Clearcut","Low",1054,234.403803
"267",941,2008,"Thinning","Low",911,202.6013895
"268",951,2008,"Mastication","Low",6402,1423.769589
"269",961,2008,"Other Mechanical","Low",477,106.0821765
"270",971,2008,"Wildfire","Low",18547,4124.7507915
"271",991,2008,"Prescribed Fire","Low",39826,8857.083357
"272",1101,2008,"Unknown","Low",39,8.6733855
"273",1102,2008,"Unknown","Medium",49,10.8973305
"274",1103,2008,"Unknown","High",58,12.898881
"275",1111,2008,"Unknown","Low",20,4.44789
"276",1112,2008,"Unknown","Medium",68,15.122826
"277",1113,2008,"Unknown","High",152,33.803964
"278",1121,2008,"Unknown","Low",846,188.145747
"279",1122,2008,"Unknown","Medium",644,143.222058
"280",1123,2008,"Unknown","High",429,95.4072405
"281",1131,2008,"Unknown","Low",410,91.181745
"282",1132,2008,"Unknown","Medium",32,7.116624
"283",11,2009,"Wildfire","Unburned/Low",32266,7175.780937
"284",12,2009,"Wildfire","Low",55000,12231.6975
"285",13,2009,"Wildfire","Medium",38617,8588.2084065
"286",14,2009,"Wildfire","High",2379,529.0765155
"287",15,2009,"Wildfire","Increased Green",258,57.377781
"288",16,2009,"Wildfire","Nodata/Non-processing mask",1611,358.2775395
"289",441,2009,"Thinning","Low",1828,406.537146
"290",442,2009,"Thinning","Medium",175,38.9190375
"291",443,2009,"Thinning","High",61,13.5660645
"292",451,2009,"Mastication","Low",10361,2304.2294145
"293",452,2009,"Mastication","Medium",195,43.3669275
"294",453,2009,"Mastication","High",30,6.671835
"295",461,2009,"Other Mechanical","Low",4940,1098.62883
"296",462,2009,"Other Mechanical","Medium",117,26.0201565
"297",463,2009,"Other Mechanical","High",12,2.668734
"298",471,2009,"Wildfire","Low",99,22.0170555
"299",472,2009,"Wildfire","Medium",8,1.779156
"300",473,2009,"Wildfire","High",1,0.2223945
"301",491,2009,"Prescribed Fire","Low",35806,7963.057467
"302",492,2009,"Prescribed Fire","Medium",3860,858.44277
"303",493,2009,"Prescribed Fire","High",2313,514.3984785
"304",601,2009,"Unknown","Low",294,65.383983
"305",602,2009,"Unknown","Medium",146,32.469597
"306",603,2009,"Unknown","High",59,13.1212755
"307",701,2009,"Unknown","Low",692,153.896994
"308",702,2009,"Unknown","Medium",381,84.7323045
"309",703,2009,"Unknown","High",523,116.3123235
"310",791,2009,"Prescribed Fire","Low",8,1.779156
"311",792,2009,"Prescribed Fire","Medium",9,2.0015505
"312",941,2009,"Thinning","Low",2534,563.547663
"313",951,2009,"Mastication","Low",20031,4454.7842295
"314",961,2009,"Other Mechanical","Low",5745,1277.6564025
"315",991,2009,"Prescribed Fire","Low",51337,11417.0664465
"316",1031,2009,"Chemical","Low",211,46.9252395
"317",1101,2009,"Unknown","Low",437,97.1863965
"318",1102,2009,"Unknown","Medium",178,39.586221
"319",1103,2009,"Unknown","High",96,21.349872
"320",1111,2009,"Unknown","Low",646,143.666847
"321",1112,2009,"Unknown","Medium",385,85.6218825
"322",1113,2009,"Unknown","High",299,66.4959555
"323",1121,2009,"Unknown","Low",1148,255.308886
"324",1122,2009,"Unknown","Medium",896,199.265472
"325",1123,2009,"Unknown","High",912,202.823784
"326",1131,2009,"Unknown","Low",4138,920.268441
"327",1132,2009,"Unknown","Medium",1026,228.176757
"328",1133,2009,"Unknown","High",660,146.78037
"329",11,2010,"Wildfire","Unburned/Low",46123,10257.5015235
"330",12,2010,"Wildfire","Low",132899,29556.0066555
"331",16,2010,"Wildfire","Nodata/Non-processing mask",4041,898.6961745
"332",31,2010,"Wildfire","Unburned/Low",1871,416.1001095
"333",32,2010,"Wildfire","Low",39,8.6733855
"334",441,2010,"Thinning","Low",10418,2316.905901
"335",442,2010,"Thinning","Medium",760,169.01982
"336",443,2010,"Thinning","High",92,20.460294
"337",461,2010,"Other Mechanical","Low",40185,8936.9229825
"338",462,2010,"Other Mechanical","Medium",6308,1402.864506
"339",463,2010,"Other Mechanical","High",622,138.329379
