"","BPS_NAME","BPS_MODEL","groupedCount","ACRES","fireType","returnInterval","annualProb","annualAcres","percentAnnual"
"35","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66",28827,6399.594,"FRI_SURFAC",289,0.00346020761245675,22.1439238754325,0.346020761245675
"36","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66",28827,6399.594,"FRI_ALLFIR",153,0.0065359477124183,41.8274117647059,0.65359477124183
"37","Boreal White Spruce-Fir-Hardwood Forest-Coastal","13652_51",26944,5981.568,"FRI_REPLAC",872,0.00114678899082569,6.85959633027523,0.114678899082569
"38","Boreal White Spruce-Fir-Hardwood Forest-Coastal","13652_51",26944,5981.568,"FRI_MIXED",1306,0.000765696784073507,4.580067381317,0.0765696784073507
"39","Boreal White Spruce-Fir-Hardwood Forest-Coastal","13652_51",26944,5981.568,"FRI_SURFAC",NA,NA,NA,NA
"40","Boreal White Spruce-Fir-Hardwood Forest-Coastal","13652_51",26944,5981.568,"FRI_ALLFIR",523,0.00191204588910134,11.4370325047801,0.191204588910134
"41","Boreal White Spruce-Fir-Hardwood Forest-Inland","13651_51",24786,5502.492,"FRI_REPLAC",490,0.00204081632653061,11.2295755102041,0.204081632653061
"42","Boreal White Spruce-Fir-Hardwood Forest-Inland","13651_51",24786,5502.492,"FRI_MIXED",524,0.00190839694656489,10.5009389312977,0.190839694656489
"43","Boreal White Spruce-Fir-Hardwood Forest-Inland","13651_51",24786,5502.492,"FRI_SURFAC",NA,NA,NA,NA
"44","Boreal White Spruce-Fir-Hardwood Forest-Inland","13651_51",24786,5502.492,"FRI_ALLFIR",253,0.00395256916996047,21.7489802371542,0.395256916996047
"45","Central Interior and Appalachian Floodplain Systems","14710_51_62",24212,5375.064,"FRI_REPLAC",NA,NA,NA,NA
"46","Central Interior and Appalachian Floodplain Systems","14710_51_62",24212,5375.064,"FRI_MIXED",429,0.00233100233100233,12.5292867132867,0.233100233100233
"47","Central Interior and Appalachian Floodplain Systems","14710_51_62",24212,5375.064,"FRI_SURFAC",67,0.0149253731343284,80.2248358208955,1.49253731343284
"48","Central Interior and Appalachian Floodplain Systems","14710_51_62",24212,5375.064,"FRI_ALLFIR",58,0.0172413793103448,92.6735172413793,1.72413793103448
"49","Eastern Boreal Floodplain","14440_41_50_51",23123,5133.306,"FRI_REPLAC",NA,NA,NA,NA
"50","Eastern Boreal Floodplain","14440_41_50_51",23123,5133.306,"FRI_MIXED",581,0.00172117039586919,8.8352943201377,0.172117039586919
"51","Eastern Boreal Floodplain","14440_41_50_51",23123,5133.306,"FRI_SURFAC",312,0.00320512820512821,16.4529038461538,0.320512820512821
"52","Eastern Boreal Floodplain","14440_41_50_51",23123,5133.306,"FRI_ALLFIR",203,0.00492610837438424,25.2872216748769,0.492610837438424
"53","Great Lakes Wooded Dune and Swale","14660_50_51",14229,3158.838,"FRI_REPLAC",3715,0.000269179004037685,0.850292866756393,0.0269179004037685
"54","Great Lakes Wooded Dune and Swale","14660_50_51",14229,3158.838,"FRI_MIXED",536,0.00186567164179104,5.89335447761194,0.186567164179104
"55","Great Lakes Wooded Dune and Swale","14660_50_51",14229,3158.838,"FRI_SURFAC",NA,NA,NA,NA
"56","Great Lakes Wooded Dune and Swale","14660_50_51",14229,3158.838,"FRI_ALLFIR",468,0.00213675213675214,6.74965384615385,0.213675213675214
"57","North-Central Interior Sand and Gravel Tallgrass Prairie","14120_39_40_41_42_43_50_51",11536,2560.992,"FRI_REPLAC",4,0.25,640.248,25
"58","North-Central Interior Sand and Gravel Tallgrass Prairie","14120_39_40_41_42_43_50_51",11536,2560.992,"FRI_MIXED",NA,NA,NA,NA
"59","North-Central Interior Sand and Gravel Tallgrass Prairie","14120_39_40_41_42_43_50_51",11536,2560.992,"FRI_SURFAC",87,0.0114942528735632,29.4366896551724,1.14942528735632
