"","BPS_NAME","BPS_MODEL","groupedCount","ACRES","fireType","returnInterval","annualProb","annualAcres","percentAnnual"
"1","Gulf and Atlantic Coastal Plain Swamp Systems","14800_55_99",2068573,459223.206,"FRI_REPLAC",NA,NA,NA,NA
"2","Gulf and Atlantic Coastal Plain Swamp Systems","14800_55_99",2068573,459223.206,"FRI_MIXED",NA,NA,NA,NA
"3","Gulf and Atlantic Coastal Plain Swamp Systems","14800_55_99",2068573,459223.206,"FRI_SURFAC",221,0.00452488687782805,2077.93305882353,0.452488687782805
"4","Gulf and Atlantic Coastal Plain Swamp Systems","14800_55_99",2068573,459223.206,"FRI_ALLFIR",221,0.00452488687782805,2077.93305882353,0.452488687782805
"5","East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland","13490_46_48_54_55_99",693235,153898.17,"FRI_REPLAC",116,0.00862068965517241,1326.70836206897,0.862068965517241
"6","East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland","13490_46_48_54_55_99",693235,153898.17,"FRI_MIXED",766,0.00130548302872063,200.911449086162,0.130548302872063
"7","East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland","13490_46_48_54_55_99",693235,153898.17,"FRI_SURFAC",3,0.333333333333333,51299.39,33.3333333333333
"8","East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland","13490_46_48_54_55_99",693235,153898.17,"FRI_ALLFIR",3,0.333333333333333,51299.39,33.3333333333333
"9","Southern Coastal Plain Nonriverine Cypress Dome","14600_55_56_99",248610,55191.42,"FRI_REPLAC",126,0.00793650793650794,438.027142857143,0.793650793650794
"10","Southern Coastal Plain Nonriverine Cypress Dome","14600_55_56_99",248610,55191.42,"FRI_MIXED",NA,NA,NA,NA
"11","Southern Coastal Plain Nonriverine Cypress Dome","14600_55_56_99",248610,55191.42,"FRI_SURFAC",10,0.1,5519.142,10
"12","Southern Coastal Plain Nonriverine Cypress Dome","14600_55_56_99",248610,55191.42,"FRI_ALLFIR",9,0.111111111111111,6132.38,11.1111111111111
"13","East Gulf Coastal Plain Near-Coast Pine Flatwoods","14540_55_56_99",32764,7273.608,"FRI_REPLAC",100,0.01,72.73608,1
"14","East Gulf Coastal Plain Near-Coast Pine Flatwoods","14540_55_56_99",32764,7273.608,"FRI_MIXED",482,0.0020746887966805,15.0904730290456,0.20746887966805
"15","East Gulf Coastal Plain Near-Coast Pine Flatwoods","14540_55_56_99",32764,7273.608,"FRI_SURFAC",3,0.333333333333333,2424.536,33.3333333333333
"16","East Gulf Coastal Plain Near-Coast Pine Flatwoods","14540_55_56_99",32764,7273.608,"FRI_ALLFIR",3,0.333333333333333,2424.536,33.3333333333333
"17","Atlantic Coastal Plain Upland Longleaf Pine Woodland","13470_55_58_60",31614,7018.308,"FRI_REPLAC",131,0.00763358778625954,53.5748702290076,0.763358778625954
"18","Atlantic Coastal Plain Upland Longleaf Pine Woodland","13470_55_58_60",31614,7018.308,"FRI_MIXED",376,0.00265957446808511,18.6657127659574,0.265957446808511
"19","Atlantic Coastal Plain Upland Longleaf Pine Woodland","13470_55_58_60",31614,7018.308,"FRI_SURFAC",4,0.25,1754.577,25
"20","Atlantic Coastal Plain Upland Longleaf Pine Woodland","13470_55_58_60",31614,7018.308,"FRI_ALLFIR",4,0.25,1754.577,25
"21","Southern Coastal Plain Mesic Slope Forest","13570_46_47_55_58_99",23207,5151.954,"FRI_REPLAC",402,0.00248756218905473,12.8158059701493,0.248756218905473
"22","Southern Coastal Plain Mesic Slope Forest","13570_46_47_55_58_99",23207,5151.954,"FRI_MIXED",159,0.00628930817610063,32.4022264150943,0.628930817610063
"23","Southern Coastal Plain Mesic Slope Forest","13570_46_47_55_58_99",23207,5151.954,"FRI_SURFAC",52,0.0192307692307692,99.0760384615385,1.92307692307692
"24","Southern Coastal Plain Mesic Slope Forest","13570_46_47_55_58_99",23207,5151.954,"FRI_ALLFIR",35,0.0285714285714286,147.198685714286,2.85714285714286
"25","Southern Coastal Plain Dry Upland Hardwood Forest","13300_46_48_54_55_56_99",21476,4767.672,"FRI_REPLAC",197,0.0050761421319797,24.2013807106599,0.50761421319797
"26","Southern Coastal Plain Dry Upland Hardwood Forest","13300_46_48_54_55_56_99",21476,4767.672,"FRI_MIXED",98,0.0102040816326531,48.6497142857143,1.02040816326531
"27","Southern Coastal Plain Dry Upland Hardwood Forest","13300_46_48_54_55_56_99",21476,4767.672,"FRI_SURFAC",8,0.125,595.959,12.5
"28","Southern Coastal Plain Dry Upland Hardwood Forest","13300_46_48_54_55_56_99",21476,4767.672,"FRI_ALLFIR",7,0.142857142857143,681.096,14.2857142857143
"29","Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods","14500_55_58",20749,4606.278,"FRI_REPLAC",100,0.01,46.06278,1
"30","Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods","14500_55_58",20749,4606.278,"FRI_MIXED",483,0.0020703933747412,9.53680745341615,0.20703933747412
